movieId,title,genres
1,Toy Story (1995) Adventure Animation Children Comedy Fantasy,Animation
2,Jumanji (1995) Adventure Children Fantasy,Adventure
3,Grumpier Old Men (1995) Comedy Romance,Romance
4,Waiting to Exhale (1995) Comedy Drama Romance,Romance
5,Father of the Bride Part II (1995) Comedy,Comedy
6,Heat (1995) Action Crime Thriller,Thriller
7,Sabrina (1995) Comedy Romance,Romance
8,Tom and Huck (1995) Adventure Children,Adventure
9,Sudden Death (1995) Action,Action
10,GoldenEye (1995) Action Adventure Thriller,Thriller
11,"American President, The (1995) Comedy Drama Romance",Romance
12,Dracula: Dead and Loving It (1995) Comedy Horror,Comedy
13,Balto (1995) Adventure Animation Children,Animation
14,Nixon (1995) Drama,Drama
15,Cutthroat Island (1995) Action Adventure Romance,Romance
16,Casino (1995) Crime Drama,Crime
17,Sense and Sensibility (1995) Drama Romance,Romance
18,Four Rooms (1995) Comedy,Comedy
19,Ace Ventura: When Nature Calls (1995) Comedy,Comedy
20,Money Train (1995) Action Comedy Crime Drama Thriller,Thriller
21,Get Shorty (1995) Comedy Crime Thriller,Thriller
22,Copycat (1995) Crime Drama Horror Mystery Thriller,Thriller
23,Assassins (1995) Action Crime Thriller,Thriller
24,Powder (1995) Drama Sci-Fi,Drama
25,Leaving Las Vegas (1995) Drama Romance,Romance
26,Othello (1995) Drama,Drama
27,Now and Then (1995) Children Drama,Children
28,Persuasion (1995) Drama Romance,Drama
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995) Adventure Drama Fantasy Mystery Sci-Fi",Adventure
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995) Crime Drama,Crime
31,Dangerous Minds (1995) Drama,Drama
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995) Mystery Sci-Fi Thriller,Mystery
33,Wings of Courage (1995) Adventure Romance IMAX,Adventure
34,Babe (1995) Children Drama,Children
35,Carrington (1995) Drama Romance,Romance
36,Dead Man Walking (1995) Crime Drama,Crime
37,Across the Sea of Time (1995) Documentary IMAX,Documentary
38,It Takes Two (1995) Children Comedy,Children
39,Clueless (1995) Comedy Romance,Comedy
40,"Cry, the Beloved Country (1995) Drama",Drama
41,Richard III (1995) Drama War,Drama
42,Dead Presidents (1995) Action Crime Drama,Action
43,Restoration (1995) Drama,Drama
44,Mortal Kombat (1995) Action Adventure Fantasy,Action
45,To Die For (1995) Comedy Drama Thriller,Thriller
46,How to Make an American Quilt (1995) Drama Romance,Romance
47,Seven (a.k.a. Se7en) (1995) Mystery Thriller,Mystery
48,Pocahontas (1995) Animation Children Drama Musical Romance,Animation
49,When Night Is Falling (1995) Drama Romance,Drama
50,"Usual Suspects, The (1995) Crime Mystery Thriller",Mystery
51,Guardian Angel (1994) Action Drama Thriller,Action
52,Mighty Aphrodite (1995) Comedy Drama Romance,Romance
53,Lamerica (1994) Adventure Drama,Adventure
54,"Big Green, The (1995) Children Comedy",Children
55,Georgia (1995) Drama,Drama
56,Kids of the Round Table (1995) Adventure Children Comedy Fantasy,Children
57,Home for the Holidays (1995) Drama,Drama
58,"Postman, The (Postino, Il) (1994) Comedy Drama Romance",Comedy
59,"Confessional, The (Confessionnal, Le) (1995) Drama Mystery",Mystery
60,"Indian in the Cupboard, The (1995) Adventure Children Fantasy",Children
61,Eye for an Eye (1996) Drama Thriller,Drama
62,Mr. Holland's Opus (1995) Drama,Drama
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996) Comedy Crime,Crime
64,Two if by Sea (1996) Comedy Romance,Comedy
65,Bio-Dome (1996) Comedy,Comedy
66,Lawnmower Man 2: Beyond Cyberspace (1996) Action Sci-Fi Thriller,Action
67,Two Bits (1995) Drama,Drama
68,French Twist (Gazon maudit) (1995) Comedy Romance,Romance
69,Friday (1995) Comedy,Comedy
70,From Dusk Till Dawn (1996) Action Comedy Horror Thriller,Thriller
71,Fair Game (1995) Action,Action
72,Kicking and Screaming (1995) Comedy Drama,Comedy
73,"Misérables, Les (1995) Drama War",Drama
74,Bed of Roses (1996) Drama Romance,Romance
75,Big Bully (1996) Comedy Drama,Comedy
76,Screamers (1995) Action Sci-Fi Thriller,Action
77,Nico Icon (1995) Documentary,Documentary
78,"Crossing Guard, The (1995) Action Crime Drama Thriller",Action
79,"Juror, The (1996) Drama Thriller",Thriller
80,"White Balloon, The (Badkonake sefid) (1995) Children Drama",Children
81,Things to Do in Denver When You're Dead (1995) Crime Drama Romance,Romance
82,Antonia's Line (Antonia) (1995) Comedy Drama,Comedy
83,Once Upon a Time... When We Were Colored (1995) Drama Romance,Romance
84,Last Summer in the Hamptons (1995) Comedy Drama,Drama
85,Angels and Insects (1995) Drama Romance,Drama
86,White Squall (1996) Action Adventure Drama,Adventure
87,Dunston Checks In (1996) Children Comedy,Children
88,Black Sheep (1996) Comedy,Comedy
89,Nick of Time (1995) Action Thriller,Action
90,The Journey of August King (1995) Drama,Drama
91,Batman Forever (1995) Action Adventure Comedy Crime,Action
92,Mary Reilly (1996) Drama Horror Thriller,Drama
93,Vampire in Brooklyn (1995) Comedy Horror Romance,Comedy
94,Beautiful Girls (1996) Comedy Drama Romance,Romance
95,Broken Arrow (1996) Action Adventure Thriller,Action
96,In the Bleak Midwinter (1995) Comedy Drama,Comedy
97,"Hate (Haine, La) (1995) Crime Drama",Drama
98,Shopping (1994) Action Thriller,Action
99,Heidi Fleiss: Hollywood Madam (1995) Documentary,Documentary
100,City Hall (1996) Drama Thriller,Drama
101,Bottle Rocket (1996) Adventure Comedy Crime Romance,Adventure
102,Mr. Wrong (1996) Comedy,Comedy
103,Unforgettable (1996) Mystery Sci-Fi Thriller,Mystery
104,Happy Gilmore (1996) Comedy,Comedy
105,"Bridges of Madison County, The (1995) Drama Romance",Drama
106,Nobody Loves Me (Keiner liebt mich) (1994) Comedy Drama,Comedy
107,Muppet Treasure Island (1996) Adventure Children Comedy Musical,Children
108,Catwalk (1996) Documentary,Documentary
109,Headless Body in Topless Bar (1995) Comedy Drama Thriller,Comedy
110,Braveheart (1995) Action Drama War,Action
111,Taxi Driver (1976) Crime Drama Thriller,Thriller
112,Rumble in the Bronx (Hont faan kui) (1995) Action Adventure Comedy Crime,Action
113,Before and After (1996) Drama Mystery,Drama
114,Margaret's Museum (1995) Drama,Drama
115,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995) Comedy",Comedy
116,Anne Frank Remembered (1995) Documentary,Documentary
117,"Young Poisoner's Handbook, The (1995) Crime Drama",Crime
118,If Lucy Fell (1996) Comedy Romance,Comedy
119,"Steal Big, Steal Little (1995) Comedy",Comedy
120,Race the Sun (1996) Adventure Comedy Drama,Adventure
121,"Boys of St. Vincent, The (1992) Drama",Drama
122,Boomerang (1992) Comedy Romance,Comedy
123,Chungking Express (Chung Hing sam lam) (1994) Drama Mystery Romance,Romance
124,"Star Maker, The (Uomo delle stelle, L') (1995) Drama",Drama
125,Flirting With Disaster (1996) Comedy,Comedy
126,"NeverEnding Story III, The (1994) Adventure Children Fantasy",Children
127,"Silences of the Palace, The (Saimt el Qusur) (1994) Drama",Drama
128,Jupiter's Wife (1994) Documentary,Documentary
129,Pie in the Sky (1996) Comedy Romance,Romance
130,Angela (1995) Drama,Drama
131,Frankie Starlight (1995) Drama Romance,Drama
132,Jade (1995) Thriller,Thriller
133,Nueba Yol (1995) Comedy Drama,Comedy
134,Sonic Outlaws (1995) Documentary,Documentary
135,Down Periscope (1996) Comedy,Comedy
136,From the Journals of Jean Seberg (1995) Documentary,Documentary
137,Man of the Year (1995) Documentary,Documentary
138,"Neon Bible, The (1995) Drama",Drama
139,Target (1995) Action Drama,Drama
140,Up Close and Personal (1996) Drama Romance,Romance
141,"Birdcage, The (1996) Comedy",Comedy
142,Shadows (Cienie) (1988) Drama,Drama
143,Gospa (1995) Drama,Drama
144,"Brothers McMullen, The (1995) Comedy",Comedy
145,Bad Boys (1995) Action Comedy Crime Drama Thriller,Action
146,"Amazing Panda Adventure, The (1995) Adventure Children",Children
147,"Basketball Diaries, The (1995) Drama",Drama
148,"Awfully Big Adventure, An (1995) Drama",Drama
149,Amateur (1994) Crime Drama Thriller,Thriller
150,Apollo 13 (1995) Adventure Drama IMAX,Adventure
